lad2,month,collisions,ksi,share_dark,share_wet,ksi_rate
112,2020-06,12,4,0.25,0.4166666666666667,0.3333333333333333
112,2020-07,12,1,0.16666666666666666,0.16666666666666666,0.08333333333333333
112,2020-08,16,2,0.0625,0.25,0.125
112,2020-09,11,0,0.18181818181818182,0.2727272727272727,0.0
112,2020-10,15,4,0.4666666666666667,0.6,0.26666666666666666
112,2020-11,13,3,0.3076923076923077,0.38461538461538464,0.23076923076923078
112,2020-12,14,0,0.42857142857142855,0.7857142857142857,0.0
114,2019-01,13,3,0.3076923076923077,0.6923076923076923,0.23076923076923078
114,2019-02,22,9,0.45454545454545453,0.22727272727272727,0.4090909090909091
114,2019-03,17,4,0.5882352941176471,0.47058823529411764,0.23529411764705882
114,2019-04,23,10,0.17391304347826086,0.08695652173913043,0.43478260869565216
114,2019-05,30,8,0.13333333333333333,0.13333333333333333,0.26666666666666666
114,2019-06,37,8,0.05405405405405406,0.2972972972972973,0.21621621621621623
114,2019-07,23,4,0.13043478260869565,0.17391304347826086,0.17391304347826086
114,2019-08,19,5,0.15789473684210525,0.42105263157894735,0.2631578947368421
114,2019-09,32,8,0.1875,0.25,0.25
114,2019-10,34,15,0.2647058823529412,0.47058823529411764,0.4411764705882353
114,2019-11,25,6,0.52,0.44,0.24
114,2019-12,30,12,0.5666666666666667,0.5333333333333333,0.4
114,2020-01,19,6,0.42105263157894735,0.5789473684210527,0.3157894736842105
114,2020-02,28,2,0.32142857142857145,0.39285714285714285,0.07142857142857142
114,2020-03,24,6,0.375,0.125,0.25
114,2020-04,6,2,0.0,0.0,0.3333333333333333
114,2020-05,18,5,0.1111111111111111,0.0,0.2777777777777778
114,2020-06,22,5,0.045454545454545456,0.3181818181818182,0.22727272727272727
114,2020-07,21,8,0.14285714285714285,0.3333333333333333,0.38095238095238093
114,2020-08,26,12,0.2692307692307692,0.19230769230769232,0.46153846153846156
114,2020-09,25,5,0.12,0.16,0.2
114,2020-10,11,0,0.5454545454545454,0.45454545454545453,0.0
114,2020-11,14,1,0.42857142857142855,0.5,0.07142857142857142
114,2020-12,16,6,0.375,0.875,0.375
12,2019-01,55,6,0.4727272727272727,0.2727272727272727,0.10909090909090909
12,2019-02,58,3,0.4482758620689655,0.1896551724137931,0.05172413793103448
12,2019-03,51,13,0.45098039215686275,0.23529411764705882,0.2549019607843137
12,2019-04,54,16,0.18518518518518517,0.18518518518518517,0.2962962962962963
12,2019-05,58,12,0.10344827586206896,0.10344827586206896,0.20689655172413793
